,salet
0101012100,kebab
0010000102,guild
0100000100,awful
010000010020000,aback
0000112010,motor
01110,glare
0111002102,alike
011100210222002,alone
0200110000,humph
020011000020002,hatch
0002000002,furry
000200000200101,hyper
0000100211,thumb
0000002100,dowry
0000210100,ought
0021010010,belch
0000100112,adobe
000010011201000,dutch
00202,pilot
0002100000,tweed
0002221000,comet
02002,thing
0200210020,evade
020021002000100,jaunt
0101001100,enema
20021,dwarf
2002110000,steed
1100000102,abyss
0010001010,growl
001000000010222,fling
0002010110,dozen
000000200000210,boozy
0001012202,erode
0010002012,world
0001000102,voice
000100010202002,gouge
0010020000,knoll
001002000010010,click
0100002010,briar
0101211020,great
0110100022,altar
0020000012,pulpy
0010202200,blurt
11002,trace
1100210210,coast
0000010001,quick
000001000102010,duchy
0000001110,bifid
000000111000020,groin
0002002002,prove
000200200201001,fixer
0000001101,whelp
000000110100002,group
000100110202112,rogue
0210020002,badly
2100200210,smart
0000100011,thick
000010001111100,pithy
0200000002,pudgy
020000000201112,gaudy
001002000000022,chill
0001001111,heron
0100010000,vodka
0002012002,finer
2002000022,pound
200200002200100,surer
020000110001020,radio
000100110202122,rouge
0001001001,murry
000100100100200,perch
00011,trite
0001111001,retro
000111100122200,retch
0001102022,wrote
0010021000,clock
00211,tilde
20011,mourn
2001101020,store
0001002202,prove
0000000120,byked
000000012020000,bring
20210,solve
0101201120,cheat
000100200200101,grime
00112,unfed
0011210010,exult
10020,rumor
1002001002,usher
0001000201,epoch
01001,tonic
0100120010,triad
0101021110,break
0000001120,pride
000000112001200,rhino
0110000201,viral
0000022010,death
000002201000000,conic
12010,humph
1201000100,masse
2000000110,sonic
0110100020,vital
0101102212,trace
10000,humor
1000001000,using
0101002200,weave
010100220002200,peach
010000010010000,champ
0200101010,baton
0101021210,croak
010102121002011,brake
0010010200,pluck
0101001210,cezve
010100121020102,craze
000100200200021,gripe
010100222012220,weary
000001000002001,picky
0101100122,acute
000100100100222,ferry
110100011012010,aside
0200100100,tapir
00101,troll
0000000011,duchy
000000001101002,unify
1001001020,rebus
1000202000,boost
10001,gourd
1000100210,truss
2001000100,siege
0002100002,inter
000210000210122,tiger
0210020010,banal
2010012010,slump
0100002101,crank
000100110202222,gorge
000100100102022,query
000000012000101,drink
020000110001200,favor
0102000020,abbey
0200100002,feign
020010000200021,tangy
0200010010,panic
21200,solar
2001001200,shire
000000110000110,proxy
0000200111,point
0000201100,robot
0000010100,prick
0001000012,winch
000100001222220,wince
0000020100,crimp
0010001000,blown
001000100001201,knoll
2100001100,sugar
010000010011000,whack
0000200101,mount
000100100100202,perky
0010022202,could
0000000121,wrung
0010201001,light
10011,troth
1001120201,those
1000222010,moist
2100001200,shard
01112,recap
0111201021,pleat
01102,fling
0110212000,aloft
2010001001,skill
0012001001,dumpy
001200100110000,elder
010100121000002,frame
000000110101000,humor
1201001010,pause
001200100101000,ulcer
0110100111,ultra
0000002110,donor
000000211002101,robin
0000020010,cynic
0100012000,bemad
010001200000110,aroma
0210000000,caulk
21010,pharm
2101002200,evade
210100220000202,shake
0001020102,dodge
201000100022202,swill
0200220100,tacit
0002101202,other
0000111011,throw
000011101122110,thorn
0001122002,trove
0011000012,bench
001100001221000,bloke
0000000000,fudgy
000000000000100,vivid
2010011000,spill
0100220000,chant
000100020200011,choke
0002000001,rupee
12001,pithy
1200100102,nasty
0000002111,mourn
0101001102,ahead
0001002022,brine
0010110210,cloth
0100011000,borax
010001100002110,hoard
20022,sweet
0000102022,tooth
000010202202022,month
12110,lapse
020011000000002,watch
0100122000,today
1000001010,focus
20112,smelt
11011,tease
02021,there
0202110110,cater
000100010212102,movie
22011,saute
01200,allay
0120022200,allow
0002010001,preen
000201000101121,renew
0001121101,their
2010002200,slosh
0001001002,verge
000100100200222,purge
10012,quich
1001200011,chest
0001200001,depot
000100020122200,epoxy
0000000010,dumpy
000000001000221,nymph
000000202110000,dwarf
00000020211000010001,found
21100,chill
2110002022,shall
2001101000,stove
001000200012022,lowly
2000200101,snout
000112200222202,trope
000200000220100,fewer
2110002002,shawl
02101,natal
0100010100,comma
010001100002220,foray
2101000220,scare
2100101100,stair
0110010000,black
2100000100,squad
0110002100,royal
0000020021,chunk
000100001202220,mince
2101002201,shame
0002000000,cheek
0111001102,ample
0110000101,flair
000200001200000,rover
00020000120000002022,foyer
0200021200,cargo
0001010102,oxide
0110202020,plant
0011000212,olive
0001200110,inert
11020,askew
1001200201,heist
2000000210,shown
1001100020,zesty
11001,trash
0210001000,larva
0000002200,dwarf
000000220000011,forgo
2000100011,story
0200000102,dwarf
020000010200120,hairy
0100120120,train
000200001201000,homer
02010,crumb
0201000001,badge
1000220010,midst
0200020022,canny
2001000201,shine
0001000101,gecko
0201011000,farce
2010002010,slung
1000100000,tipsy
01111,champ
0111100110,metal
0011000121,dwarf
001100012110000,yield
0021000000,delve
0001000021,penny
000100002102020,being
2000001200,scour
11100,chals
1110000212,glass
0202020110,gamer
2100011102,scrap
0002010010,mucky
000201001020002,money
000100001202201,hinge
0110000000,amply
011000000021010,album
0000012001,vouch
11022,asset
010012001021110,tiara
0001220100,crept
0200001001,bayou
0110101010,atoll
0200001110,manor
010100111000120,creak
2000000200,showy
1101000221,phase
0000111022,froth
0001100021,depth
001000100002200,gloom
0010001002,flood
0100200010,grant
010020001002202,trait
0000110022,biome
000011002202000,girth
0001100121,piety
1001000200,goner
100100020022010,goose
0110222000,float
0101100112,atone
000000110001110,primo
0100011002,apron
0200021000,cacao
10120,loser
0000200011,input
0110202001,gloat
011000000020010,awful
000000012020100,brink
2001110000,smite
0101022201,beady
1000100110,rusty
0010001011,droll
020000000200012,gawky
000010011200000,hutch
0000101020,pinto
0002201201,egret
0120001220,lilac
2002002022,sever
001100012110001,field
0010000200,flunk
001000020022200,fluff
010100120020001,agape
21011,grike
2101100001,stead
0001101021,berth
020000000022002,madam
0000210011,night
0110000020,bifid
011000002020002,bland
0012001011,feign
001200101101100,liver
0001010002,whiff
000101000220000,wedge
000000210002012,roomy
0200010002,wacky
0010011000,flock
0100001001,angry
0100000020,aphid
100020010002022,tryst
000101000200100,midge
000200001210000,humph
00020000121000000010,power
001100001201000,elope
000002001020210,cinch
0000102020,motto
2000110010,stomp
10022,round
1002200100,upset
001000020012200,bluff
010000210001000,cramp
0100200120,quart
0010022000,coyly
0000102222,youth
000100100200102,rhyme
000000000102002,buggy
01120,alien
2101000111,smear
0000200021,unfit
020010000200000,patty
001002000001010,cling
0111022101,glean
021202000022022,label
000000001102012,hunky
0100000010,khaki
000200001200001,poker
0012002002,gruel
0001120202,twice
0100120100,twang
200000100022220,shrug
010121102002222,treat
12011,bench
1201101000,whelp
120110100020100,waste
0001200220,merit
000201001000000,woven
0001010011,needy
001002100022200,clown
000000112002100,irony
0002000202,ruder
0201000200,gauze
0002001000,chief
1002201010,onset
000100200200011,prize
000000001102000,fungi
0100001100,charm
0020000022,feign
002000002200010,gully
0000001000,whoop
0200220020,taunt
0011000011,clerk
001100001101220,leery
1110020212,class
0001120002,theme
0010110110,lofty
0100120020,tibia
000100020200000,booze
011000000020210,alpha
000112000222022,thyme
0000200100,doubt
0202000200,parer
0001100022,chute
2000101000,stick
0001122202,bench
000112220201020,trice
010100211022120,recap
22002,saint
0010001020,glory
0100200001,admit
1000000001,brisk
2000000100,soggy
1000001001,usurp
2110010020,pride
211001002000010,scald
2000001210,bench
200000121000110,scorn
0111001202,leave
000112020222202,twine
200010110022220,sting
0000002001,bough
1200001010,marsh
2010121201,sloth
0200000012,dandy
000000110002020,vigor
000000200011100,howdy
0001000111,enjoy
02200,rally
0220002200,valid
0000012010,ionic
0111001101,pedal
011100110101022,equal
001000101001201,floor
0200120000,catch
2101010200,spade
2001100002,stein
1001200200,exist
0000000101,rugby
000000010112000,quirk
0001020011,denim
000100220202222,grove
20120,spiel
000000000102202,mummy
02102,fault
000000200000100,foggy
0010202100,flout
0200020202,carry
2101000100,sneak
0012010012,libel
02201,tally
0220112200,waltz
0110100010,aptly
0002012000,given
000201200002021,piney
0001200010,inept
011000100010011,aloud
0000101021,photo
0101001111,dream
21111,stale
0001100222,unite
2110000002,snarl
020200010002010,baker
0001121002,there
001000000011001,glyph
0000012000,pooch
000000000000002,hippy
20110,chime
2011000001,spell
0020002022,fight
002000202220000,folly
1011001220,louse
0020000010,gulch
0210202222,vault
0010002001,godly
0002100101,threw
00122,fleet
010100121000022,grave
010100120010120,inane
2000000202,shock
010100121020022,crave
2001100000,spite
02210,valve
2000010001,skimp
0110020001,claim
0200000122,rainy
1000100100,musty
0001000002,quick
000100000211100,pique
020000000200202,daddy
1100000201,quasi
1101002120,arise
0100000011,aging
02222,valet
0000001001,jumbo
000000100101101,opium
0101211010,avert
2000100000,focal
200010000000100,stuck
0001211100,recut
002000001002222,mulch
0001001012,genre
001100101202222,plume
0011000122,rifle
000020010102222,count
0000010111,incur
0110102020,total
1001200000,wrest
0100010200,mocha
000210000200222,deter
200010000000000,study
0012001101,lover
22020,safer
0002201100,rivet
0000000021,funny
2001000010,smoke
000000202110100,mound
0001010012,undue
210100010021120,sedan
0200000010,pagan
200100020120222,swine
1000120100,gusty
0001000001,beech
000100000101000,equip
0000102212,tough
0201020000,canoe
1100020202,chaos
000222100022022,covet
0100000002,human
000200020201222,udder
0010010100,lunch
11102,blast
2100101000,stray
020000001002101,manga
0022002000,melee
00111,title
0011110011,lefty
120110100000101,paste
0002211000,octet
1002020000,risen
0100012002,groan
0111001201,leaky
000000012000002,grind
0201021000,carve
1011001020,loose
22100,sadly
20102,spilt
011100110220222,apple
2110010010,slack
000201001000002,honey
0110000011,align
011000001111101,final
2002011020,sheen
000100100202202,eerie
0000100020,bated
000010002000100,minty
2010002002,slick
0001021001,derby
010000100001222,wharf
2011220222,spelt
010001010022001,coach
000120110011012,erupt
2001000101,singe
000100200210011,price
2100000201,spawn
020000010200121,fairy
000000000010002,jiffy
0020000112,filmy
2100100002,stack
1001020200,chose
2012021021,sleep
010001200000011,ardor
0200000022,nanny
000100001202120,niece
000000200000200,woozy
020000001202222,handy
010100121010002,grace
000010102002022,ditto
2100100022,stank
010100111010120,cream
1110000111,usual
0001020202,diode
0220012200,valor
0111011102,angle
010000001110110,ninja
000000000112102,muddy
1101020221,chase
001100002100121,reply
0001002222,prone
2010011200,spoil
0101212010,heart
210100220000222,shade
0002012102,diner
1100002101,arson
0000001010,bingo
000000101001101,onion
20122,sleet
001200010212020,dowel
0000022001,couch
12200,palsy
0012020102,bowel
2011000212,smile
000100020200001,evoke
000200000110020,creek
02110,creme
0211010002,lance
0211000102,eagle
0000200110,idiot
2002000021,siren
0010201100,built
0002000100,embed
010000100012220,award
1000000011,grade
100000001102010,dross
0110000010,annul
000000200010200,golem
00000020001020022000,goody
000000111000100,frown
0200101000,patio
0212020100,laden
000000000112200,humid
0011111012,elite
001000000022000,lymph
0001010001,edify
0000210010,dwarf
000021001000000,might
1002220000,reset
1000200020,visit
1000121100,gusto
1001001011,purse
020000110001100,vapor
0000021100,dutch
000002110000020,crock
0001102222,write
2000000020,sunny
0110102010,loath
010000010010100,chaff
2011000202,slide
000200000202100,queer
000100011111020,venom
2100110000,stamp
2000001100,sorry
2010122002,still
0100011102,acorn
010000001120222,aping
1000012000,pushy
0202120110,humph
020212011000200,tamer
0202111110,hater
020000001002001,mania
010100110010001,awoke
0100002002,pound
010000200200010,brawn
2000200000,swift
0011000222,exile
0000010200,birch
001001010022010,lucky
000200000220110,freer
100000000101111,risky
1000201000,ghost
001200101101200,plier
0110000110,lunar
0000010010,dwarf
000001001001000,winch
210100022020222,snare
1001001010,nurse
1001000110,house
0002022002,nicer
0010010110,lurch
0111201010,exalt
0100201100,about
22000,copsy
2200000012,savvy
0000102010,toxin
0000100110,tunic
0002001101,decaf
000200110111000,pried
0120000222,inlay
0000020001,chump
0210000012,lanky
1001022000,cress
0202110111,eater
001100101202202,elude
0011000022,noble
001100002200022,cycle
000010002000200,kitty
0011001022,boule
0000002210,moron
0002202010,tenet
0111002202,blimp
011100220202001,place
001000200002012,lobby
1010000010,plush
001000000010101,vigil
0002011200,index
001000000010220,blink
001002020000000,clung
011000000011020,qualm
0000021101,croup
001002000011010,clink
000001000102220,juicy
2101110002,stage
0101002101,decay
000100101202112,nerve
001200101121200,flier
2100202200,shaft
000002110000010,crook
0111002101,stink
011100210100010,clean
0100000111,china
0001011002,ridge
001200010212120,vowel
0001000212,gnome
2000000012,snuck
0000010020,icing
2000010020,spiny
00000011000202002222,rigor
2110000102,snail
001000100002222,flown
0200000100,rabid
1001002201,prose
010012010020220,thank
00000020000010002002,poppy
000101000200000,budge
00020020020100122022,fiber
0020012012,moldy
000000200020100,dowdy
0012000002,leech
001200000211200,kneel
0100120001,track
0200020002,caddy
0011002021,quell
02220,paler
2001001010,bench
200100101001000,swore
0101012110,rebar
2100010100,scuba
21202,splat
001200100100001,flyer
0000002220,horny
1200000010,mason
0000002020,doing
0001000222,ozone
0120000220,molar
0100021000,ovary
1002200000,beset
000100000222000,queue
001002000000010,cliff
0200010000,magic
000112200222002,truce
2000200020,sport
0000110020,fritz
0001210010,edict
0010121002,twirl
1001001000,verse
011000000011010,llama
0202110101,eaten
0201001000,range
1000010000,whisk
001200010202220,hovel
010101211022120,rehab
020001000022001,macaw
2100000120,sigma
200020010020222,spout
000100100222202,verve
200000000021200,sushi
0000000020,dying
0001110101,fetid
010000202202200,brain
000000000112002,buddy
000010021122220,thump
200000011021111,scion
0200020012,candy
000002110010011,chord
1200000100,basin
0200010200,march
000002110010010,crowd
010001200010010,arbor
0210000002,gayly
1000002100,musky
2100100110,stain
0220002222,dally
1011022020,bless
010001200020010,bravo
2000100100,stung
0022001000,ruler
1000000010,kiosk
001000100202202,blond
000100001101101,ennui
0212020001,layer
0010000202,fluid
02001000020000002222,tatty
200100101001010,score
0001110102,cutie
0101012120,zebra
0201001001,barge
0202110100,matey
0012021001,bluer
0102010022,aider
200000020222202,shook
000200200201011,river
0000000100,privy
00121,hotel
0012100222,betel
100000000102222,frisk
0000002010,bongo
000100001102012,begun
0101001120,azure
000100001201200,genie
2000000120,sound
0011020012,glove
0100002020,braid
2001010010,scope
0010000010,feign
001000001000000,wryly
1100000101,assay
010100110001201,ocean
001000100022200,bloom
010110222202222,irate
02121,later
000201001000010,woken
20200,silky
0001002001,wreck
0011200011,dwelt
2111121212,slate
2100010210,smack
2020021200,solid
010100120020000,amaze
0212010000,hazel
1000200110,wrist
002000202200000,jolly
001102001222202,globe
0010202020,flint
1001001110,rouse
001002000000002,civil
1100110110,vista
01210,relax
000200001200010,cover
011100210222202,alive
0001110021,jetty
1010020000,bliss
011001200001110,vocal
0002101000,often
0020022022,dolly
000120001010102,eight
00020000120000102222,joker
200100010122202,since
0001200000,event
1001000020,ensue
2000202201,shunt
0002002102,diver
1002000012,poser
1000202200,worst
2002001120,sweep
01220,alley
0002000101,befog
000200010101000,creed
010100110012021,anime
011100120122202,leafy
1000000120,bosom
0001020012,dunce
2101101002,stare
000000000112012,pudgy
0201000000,waive
000002110000011,choir
2000100020,stood
200101001020212,spoke
000010111022202,outgo
0121002220,delay
0021002010,bilge
011100110101122,ideal
1110020211,clasp
2001000200,seize
0010110120,hotly
021000000002210,laugh
200100010022202,sieve
001001100002222,block
0101202010,meant
01010012100000202202,grape
100100020002110,noose
020000020210001,hardy
2002010020,shied
0110000100,drawl
1200000200,daisy
0000100120,putty
2000200110,strut
0000201001,burnt
00201,tulip
000002010022200,crick
0010000001,idyll
000201200002122,vixen
0000001201,furor
000100000102200,geeky
000002200122202,cough
020100000002222,naive
211000200222102,shoal
200010001122220,stork
02011,bathe
0100110200,aunty
000100000100221,check
000100200200111,prime
1100002202,brass
0002101012,outer
0000000201,furry
020000110001000,razor
0011200010,elect
000121001020222,evict
001000000011100,imply
000102100122100,demur
0100111000,quota
0202000000,haven
0210000100,cavil
2101000110,swear
0000020101,crump
000000200102222,dough
0212010010,gavel
0200001010,wagon
2220001001,salon
000101001211202,nudge
0202000210,harem
0000100012,wiped
000010001202100,pitch
200000121000100,sworn
0010000100,pupil
001200000211110,excel
2000100110,stony
0200020010,cabin
000000001101000,unzip
0002010000,queen
0000202200,trout
0020002011,polyp
0201102111,earth
2000110011,storm
0010110002,until
020212011000010,taper
000210000202222,enter
0010020002,child
0100201001,adopt
000000111002000,minor
020010000220000,fatty
1000022000,husky
010102121002010,brave
00222,filet
2011000222,slime
0010202021,glint
0101102111,tread
2111122111,steal
0111011111,regal
1001202000,guest
000100100100022,every
000000020102202,murky
2101002220,share
2001011010,spore
1000202010,fresh
100020201000021,hoist
000000100102111,buxom
0002011002,inner
0002101002,otter
001000000111120,dimly
001200000222000,level
2100010110,sumac
000020010102112,donut
2010220222,stilt
010100111001010,arena
2002220222,sheet
200000100020222,scrub
0200010012,fancy
2010002000,slimy
0111001221,pearl
2020022202,silly
0000012200,porch
000000101002222,dingo
2101010100,sepia
011100110222022,amble
2100000200,shady
0101021112,bread
010000201002222,friar
0001001011,reign
020000010220120,dairy
001000010002012,quill
100000001102000,cross
000000110020022,brood
0002100012,tuber
2101002110,shear
1000202020,posit
011000002020000,blank
0120011200,villa
210000020022200,shank
000000000000022,piggy
010100111000020,freak
000001000001001,which
0100010001,among
011100110102022,fecal
2011002001,shell
0010002202,would
0111012102,algae
0211001002,large
020000010022210,rabbi
010001000120221,agony
1101000120,amuse
100001200002222,bushy
1001020101,copse
200000021020212,swoon
000100001201100,knife
000001200102222,pouch
1100210110,ascot
01110022020200122202,plane
0000021110,crown
010000200200110,urban
200100020120212,snide
0121022220,relay
010101110121012,abide
0110001001,viola
020000010022000,rajah
210010100022220,straw
0020020122,dilly
1100022201,crash
1100000202,amass
0000110011,third
0000110010,trick
0000111110,tutor
00000020001020002000,woody
0010000220,blurb
0002001001,grief
100000001002110,disco
000100100201102,where
2200000022,sassy
0101022200,beach
2200000010,sauna
0000022000,comic
0012000001,clued
000200000110120,creep
1201101010,caste
010100121000102,graze
2000000010,snuff
0000011100,frock
010001000110111,gonad
000000012102220,drunk
000000112022000,prong
0010000112,lurid
20121,steel
0221002222,halve
000200000202101,buyer
001000000011110,vinyl
0011111022,utile
2011000011,smell
010100120100212,adage
000000220001020,worry
120010010202222,tasty
011001200001010,local
010110221222202,trade
000001001000001,finch
1102022020,ashen
0110002000,modal
0200210021,gaunt
001100001201010,clove
0101201110,enact
010001100220112,adorn
1100211200,roast
2001010000,speck
200100010021200,sheik
1000000100,missy
0000222001,grunt
2000010210,snoop
0200100202,party
000010221222202,touch
020000000022020,mafia
000200000010120,emcee
0100002000,death
010000200000100,array
2000100010,south
020000000002020,vapid
002100000002200,jelly
2010001012,skulk
1100210100,angst
0110100120,tubal
001200110122022,lower
1001200010,crest
21012,sweat
00020000020010102022,cyber
0101001121,adore
020010020202212,tardy
2100000220,swami
0000102012,notch
000000110000020,groom
0100011100,roach
000010001202000,hitch
000000202111000,young
0101002211,ready
000000112002010,frond
2100111000,strap
000200000112122,puree
0111001211,realm
000100001200200,venue
2100001210,swarm
00020000120000001022,offer
2002002020,seven
0002000102,dryer
0100001010,diary
0010000011,dryly
0100002001,bifid
010000200100001,drank
0100001120,acrid
0101002201,heady
0101100121,theta
0000101120,junto
000100000200100,pixie
0000101122,quoth
100000101002022,bonus
21102,shalt
0001000022,penne
010100110220202,amend
0200100000,datum
001000010202222,build
0100010011,piano
201100200122220,shelf
0011010012,lodge
200000002022020,suing
010100222002220,rearm
0110022200,coral
0202000110,ramen
000011202201010,worth
1110000221,psalm
000201100222022,infer
0001200101,overt
0200001101,mayor
000000100000200,ovoid
0011020212,glide
1101000210,usage
1001000101,poise
0200000112,randy
000002000122200,chuck
010000200100000,prank
100001000001110,fishy
0002100202,ether
0001022202,drove
0022001100,idler
210010000021200,swath
2000200001,stint
001100022200222,while
0101202020,begat
011000000020222,apply
2110000010,slang
0200220000,tarot
020000010022001,radar
0001012101,credo
0101001220,aware
0200021010,canon
2000202000,shift
0002110002,timer
0120000221,bylaw
200100100022200,serum
000210010122220,three
2101100011,steak
0110010001,iliac
2000001002,shirk
0010202220,blunt
000000000102022,puppy
011100110122022,penal
100020201000020,joist
000000002102222,bunny
2101012200,shape
0002202000,beget
001200000211201,wheel
0101201011,adept
2000200201,stunt
20111,stole
010012200022020,topaz
0001001202,chore
001100101222202,fluke
0100201000,afoot
0110202000,bloat
002000002200000,bully
1001000000,dense
020200010002100,caper
2002001022,sneer
0002000012000000202202022,boxer
0011012012,lunge
210101020022202,space
0110000001,audit
011000000120020,avail
2000202020,short
201001201022202,slurp
011000200002022,loyal
0010202000,flirt
010000001000101,pizza
000002201000002,conch
0001120001,tempo
000000110000121,droop
0111100201,plate
001100012202022,bible
001000020002222,plunk
011000100012012,afoul
2200001012,savoy
2002100000,steep
011101110220122,agile
2101100022,stake
001100002110220,dwell
010100120011010,knave
110100212022022,arose
000010201012020,motif
2100000210,smash
001000101002202,broil
200100001020202,shove
020000000200022,baggy
020000000200002,mammy
2100000222,swamp
0110001020,along
0202010100,wager
010000010010010,quack
2100200100,squat
210000020020202,snaky
0001200020,debit
0201000010,mange
2101100012,skate
0000100022,dwarf
000010002200000,ninth
100020200002022,joust
0100120000,tramp
2000011010,spurn
011100110102222,medal
000001110001110,micro
0012011002,rebel
011000002000100,flank
011100122102221,learn
0200000110,nadir
0211000012,maple
000002200022200,comfy
0001200120,remit
000000010111100,gruff
10021,ester
11112,least
0010002100,mogul
0001110001,fetch
1201001000,cause
0202001000,oaken
0120020200,aglow
010110022102220,meaty
020100000002002,gaffe
201000100020001,shyly
020200010002200,racer
001000101002222,prowl
0002100100,thief
2001100022,stern
100100010122021,poesy
0000012100,rocky
0002201001,tweet
12002,waist
2001011200,spire
000100220212202,grope
0200011000,havoc
1200120202,patsy
0010122020,truly
0000112020,forty
0001100221,deity
001100102200122,uncle
200000000021020,swish
00020020020101102222,giver
0012020002,bevel
0011001011,lemur
0100200011,draft
2011000002,slope
010001000120110,annoy
001000100001101,lingo
011100210100002,bleak
000010002000201,ditty
0010020110,curly
0101002111,cedar
0001021002,dirge
000000111000000,grown
0001011102,horde
001000101122202,drool
2000000002,shuck
0000202000,crypt
0000020011,cumin
200010001021010,stock
010000200000200,gravy
1010002020,locus
0002002202,react
000200220211000,wider
000200010121000,breed
000110022210222,quite
010100120010000,chafe
020102000022002,cache
001000000010200,blimp
000102001122110,deign
0001010021,fiend
0010012000,logic
010100110000201,cheap
001100021202202,elide
000000010001100,rigid
12210,false
0111001111,renal
000100001200220,pence
000000210012212,rowdy
200020200022002,shoot
011100220222000,blaze
000100011122022,envoy
100100010122022,posse
000200100102222,brief
0002020002,never
0100201020,abort
100100011002222,mouse
000001000102011,mucky
2020020222,sulky
00010010010002200222,fiery
010100210112010,media
0000110210,trunk
11012,batty
1101201101,yeast
0111002111,clear
2000000022,skunk
211001002010000,scalp
000010002020200,bitty
000200220211010,cider
011000200002011,koala
000220100002022,duvet
200100000022000,segue
000100200220100,creme
200200002210100,super
001000001000210,grill
01021,after
000201001201222,owner
000200000200100,ember
0101002210,reach
001000200002022,nobly
000110002101220,empty
2002001020,speed
1000000000,gipsy
000100100101110,recur
200000020220222,smock
0101001112,dread
000100100202222,merge
1000200200,burst
020000000002000,kappa
0100110010,amity
210000020022202,shaky
00020000120100022022,hover
021000100012200,carol
2000200021,snort
200000011021200,synod
0200210220,faint
0200211020,haunt
0010001110,flour
010000112011120,chair
000111000102200,detox
2002010121,shrew
1001120000,tense
001200001111020,plied
010000100000220,quark
0010000110,burly
001200010202221,novel
020200000002022,waxen
2000101010,stoic
00010010010020202222,jerky
0010110010,blitz
000100000122200,beefy
0010010010,lyric
100002200022202,hussy
0012102122,towel
001020110002222,quilt
0021000011,below
100000000002112,wispy
1100002201,brash
2001000011,scone
1100220200,toast
12120,easel
2200010012,saucy
0221022202,value
200101020022202,spice
000000211002222,honor
0001101022,route
2100001202,sharp
020000000200102,bawdy
020000010022021,radii
2010001011,skull
0000001020,phony
100100002000222,issue
0212020010,lager
201100000120222,swell
000100202202222,urine
1200000000,gassy
0110100021,trial
0110001100,flora
000200000201100,upper
0210102201,latch
000021001001000,wight
000001010002222,brick
000111100122220,retry
002000202200010,holly
011100110102122,decal
1100002212,grass
2100010200,shack
010001000002102,dogma
00020000120000002222,mover
000200010220022,defer
200200002202000,sober
0000101010,optic
0002001002,crier
000000002002222,vying
010001000111110,nomad
0011110012,flute
000000100001101,hippo
210000120022220,shark
0002001102,drier
1001000100,obese
0011012022,bugle
020010000200001,tawny
0110020000,chalk
1101201100,feast
000000010122002,ruddy
2100011200,scarf
001200200202222,cruel
0111201020,bleat
0110110020,tidal
201000201022200,slush
200200202022022,semen
000000001010002,windy
1000100101,dusty
2220000001,sally
0020001110,igloo
0001011011,nerdy
001200000212000,jewel
200100001120222,shone
011100120210202,whale
000201000000022,hymen
110100012020222,abuse
000100000202000,fugue
001100001102100,elbow
000002010122220,crumb
1200000001,pansy
10210,welsh
2000011000,syrup
1001121000,terse
2101000200,suave
0200210001,gamut
200000002021020,swung
000200010101100,freed
